"","name","value"
"1335","times","Extra chocolatey Christmas rocky road"
"1336","dailymail","
          Katie McGlynn wraps up in a green jumper while Stephanie Waring slips on a sleek taupe coat for an evening at Manchester's Winter Wonderland
          "
"1337","mirror","Woman left without heat in 'iceberg' council flat on coldest night of the year"
"1338","times","Two Doors Down — exploring the classier side of toilet humour"
"1339","dailymail","
          Jonah Hill displays his unique fashion sense in a bold floral shirt and purple beanie hat as he joins Leonardo Di Caprio at the Q&A for their film Don't Look Up
          "
"1340","mirror","Student claims aunt has betrayed dying mum's wish in court row over £600k home"
"1341","times","What’s on TV and radio tonight"
"1342","dailymail","
          Ryan Reynolds cuts a stylish figure as he steps out in a suede green jacket and dark shades for a winter walk
          "
"1343","mirror","New travel rules kick in TODAY amid concern over Omicron - see what has changed"
"1344","times","Word Watch"
"1345","dailymail","
          PICTURED: Khloe Kardashian keeps low profile as she emerges after discovering Tristan Thompson 'got another woman PREGNANT while they were still together'
          "
"1346","mirror","Young couple 'fake engagement' to get upgraded to posh room at the swanky Shard"
"1347","times","The best classical concerts and opera: our reviews"
"1348","dailymail","
          Strictly Christmas special 'thrown into MAYHEM after Sheridan Smith pulls out of her performance with Gary Barlow with only days notice'
          "
"1349","mirror","Woman in floods of tears over strangers' kindness after 'falling on hard times'"
"1350","times","Three ways to avoid sore eyes in winter"
"1351","dailymail","
          The Bachelorette: Tayshia Adams tells co-host Kaitlyn Bristowe she's 'heartbroken' over tough split with Zac Clark and emotionally walks off
          "
"1352","mirror","Grenfell cladding fire risk was 'covered up by ministers for years' before blaze"
"1353","times","The 33 best books of 2021"
"1354","dailymail","
          Amy Adams, 47, swaps red carpet glamour for a very casual ensemble as she goes Christmas shopping in Beverly Hills
          "
"1355","mirror","UK 'faces more Omicron cases than some red countries' with 'pointless travel rules'"
"1356","times","Books coming out in 2022 — what you might be reading next year"
"1357","dailymail","
          Could this bloody TV series be the next Killing Eve?  Ragdoll from the makers of serial killer hit follows detectives investigating murders - after finding bodies SEWN together
          "
"1358","mirror","Ryder Cup golf star 'grabbed woman's breast and urinated on plane seat' during flight"
"1359","times","42 best books for children 2021"
"1360","dailymail","
          'It wasn't ugly just that their schedules weren't aligning': Eiza Gonzalez and Paul Rabil SPLIT 'a few weeks ago' after work 'put strain' on their seven-month romance 
          "
"1361","mirror","Young Tory seen in Parliament bar with cocaine 'hanging from nostril'"
"1362","times","The Times Daily Quiz"
"1363","dailymail","
          I'm A Celebrity 2021: Aggrieved David Ginola hits back at Naughty Boy over tense trial deliberations - and fans are touched by the Frenchman's emotion when reading letter
          "
"1364","mirror","Sarah Ferguson says she may be the 'most persecuted woman in Royal Family history'"
"1365","times","Richard Cole"
"1366","dailymail","
          Billy Connolly, 79, proudly reveals he has learnt to 'hypnotise' his hands to dispel shaking side effects from his Parkinson's disease
          "
"1367","mirror","England announce squad for first Ashes Test with James Anderson the big absentee"
"1368","times","Riki Hyde-Chambers"
"1369","dailymail","
          Gemma Arterton wows in a shimmering orange gown at star-studded The King's Man world premiere in London
          "
"1370","times","John Barton"
"1371","dailymail","
          Prince Harry and Charles 'have barely spoken in MONTHS': Relations hit 'an all-time low' after Megxit, accusations of racism and Duke's dig at donor scandal
          "
"1372","times","Fortune Duchess of Grafton"
"1373","dailymail","
          'It was very strange!' I'm A Celeb's Arlene Phillips reveals she was allowed to dye her HAIR and watch Netflix while stars were evacuated during Storm Arwen
          "
"1374","times","Barney Rachabane"
"1375","dailymail","
          Jimmy Fallon teams up with with Ariana Grande and Megan Thee Stallion for a new holiday tune It Was A... (Masked Christmas)
          "
"1376","times","Japan used clouds to launch the surprise attack on Pearl Harbor"
"1377","dailymail","
          Pete Davidson smokes a joint on red carpet of The Freak Brothers in LA... while love-interest Kim Kardashian attends memorial service with  Kanye West
          "
"1378","times","The Irish free state"
"1379","dailymail","
          The Voice: Ariana Grande gets in on the act as Jim and Sasha Allen perform live during semifinals
          "
"1380","times","Births, marriages and deaths"
"1381","dailymail","
          'It's all he's ever wanted': James Argent and Lydia Bright have been meeting up in secret and are hoping to rekindle romance 
          "
"1382","times","December 6, 2021"
"1383","dailymail","
          'Let's embrace all the faiths and rituals!' Madonna celebrates the final night of Hanukkah by dressing up as an elf and decorating a Christmas tree
          "
"1384","times","Work from home for next six weeks, says Sturgeon"
"1385","dailymail","
          Jennifer Aniston leads casts of Live In Front Of A Studio Audience on Jimmy Kimmel Live as Kevin Hart jokes about walking because it's gonna be a 's***show'
          "
"1386","times","We still back Cambo oilfield, insists Jack"
"1387","dailymail","
          Rose McGowan's lawsuit against Harvey Weinstein is DISMISSED after she failed to file correct paperwork by deadline: Actress claims disgraced mogul sexually assaulted her
          "
"1388","times","The budget will show us the real Kate Forbes"
"1389","dailymail","
          Sylvester Stallone, 75, to star as mob boss in drama series Kansas City... in what will be his first leading man role for TV
          "
"1390","times","One man and his dog cross Canada to rewild Scotland"
"1391","dailymail","
          West Side Story's Ansel Elgort and Rachel Zegler promote upcoming film at SiriusXM Studios in LA
          "
"1392","times","80mph Storm Barra is threat to life"
"1393","dailymail","
          Olivia Wilde rocks a sweatshirt from her beau Harry Styles's gender-neutral beauty line while out in Los Angeles
          "
"1394","times","Anger after ex-stripper fails in bid to hide identity at tribunal"
"1395","dailymail","
          David Ginola's daughter Carla stays at £2,400 per night hotel in  Mauritius while the former footballer endures freezing temperatures on IAC
          "
"1396","times","Politicians ‘petrifying older people into not going out’"
"1397","dailymail","
          Pete Davidson and Machine Gun Kelly drive fans wild as they strip down to Calvin Klein underwear: 'Hope everyone's horny at home!'
          "
"1398","times","Primary school closes as Omicron cases rise"
"1399","dailymail","
          This knockabout homage to Eric and Ernie is pure comic sunshine: PATRICK MARMION reviews The Play What I Wrote 
          "
"1400","times","Agony of dementia made Davidson change mind on assisted dying"
"1401","dailymail","
          Gwen Stefani certainly seems in the holiday spirit as she rocks bold red and black ensemble while out in LA
          "
"1402","times","Probationer PCs with three weeks’ training used at Cop26"
"1403","dailymail","
          Jane Seymour reunites with Dr. Quinn, Medicine Woman cast 23 years after the show went off the air to celebrate co-star Joe Lando's birthday
          "
"1404","times","Pupil census must be withdrawn over sex questions, say Tories"
"1405","dailymail","
          'Happy f*****g Monday!': Maura Higgins reveals she has been rushed to A&E after 'slicing her finger to the BONE' - as she shares snap from waiting room
          "
"1406","times","Woman’s body in mortuary ‘forgotten’ for weeks"
"1407","dailymail","
          Vanessa Bryant reveals that trolls are threatening to release photos of Kobe and Gianna's bodies
          "
"1408","times","Policing expert says more Tasers will add to accidents"
"1409","dailymail","
          Extraordinary story of how JoJo Siwa built a $20 MILLION empire after leaving Dance Moms - and how coming out has helped her shed her 'little kid' image
          "
"1410","times","A Christmas Carol — A refreshing take on a classic of the festive season"
"1411","dailymail","
          Made In Chelsea's Nicola Hughes showcases her  figure in a tiny bridal white bikini as she enjoys lavish honeymoon with new husband Charlie Tupper
          "
